appid,name,release_date,copiesSold
1371550,Flight Catastrophe,To be announced,162
1699030,Geo Mythica,Coming soon,161
2775870,Stalked in Solitude,Coming soon,161
2878930,Farming Life 40,Coming soon,158
2769290,Ringo's Roundup,Coming soon,157
3499520,PianoGlow,Coming soon,155
3370930,SlimeBrew,Coming soon,151
3208740,Pussy Clicker - Adult Idler,Coming soon,149
3385380,Mars Survivor,Coming soon,148
2801710,Vollema,Coming soon,148
3433210,Ghostie's Escape,Coming soon,144
3220610,Face to Face,Coming soon,142
1895720,Project Three,Coming soon,137
3023230,Mongol - Corpses of the divine,To be announced,137
2478120,Nekograms,Coming soon,136
2948230,Catcelona,Coming soon,135
3106310,SIGMA  WAR  NOTES,Coming soon,133
3501370,BANNED TAPES,Coming soon,132
3137530,Escape from Mutation Station,Coming soon,130
3446740,The Random Game,Coming soon,126
3488610,Bedtime Story : Saint,Coming soon,125
2987320,Animal Adventure,Coming soon,125
2894100,Never Experiment On Cats!,Coming soon,124
3175690,Solar Collision Control,Coming soon,124
3175690,Solar Collision Control,Coming soon,124
2655120,Workshop Simulator VR,Coming soon,123
3143190,Hook Line and Sniper,Coming soon,123
3390250,32 SECS,Coming soon,123
3107980,Just Skill Shooter: Catacombs,Coming soon,119
3367740,The Secret Story,Coming soon,116
2847880,Stellar Mess: Operation Kush (Chapter 2),Coming soon,116
3485570,ابو فانوس - Abu Fanous,To be announced,115
2938510,Withered Flower,Coming soon,113
3350790,Banana Ragdoll,Coming soon,113
3463820,Unforgettable: 4th Dimensional Bartending,Coming soon,112
3463820,Unforgettable: 4th Dimensional Bartending,Coming soon,112
3426730,Cosmic Arcade Tycoon,Coming soon,110
3236000,執着学園,Coming soon,109
3398140,Supermarket Simulator Pro,Coming soon,109
3317630,Christine's Care,To be announced,107
3317630,Christine's Care,To be announced,107
3423410,SEXY CHRISTMAS,Coming soon,105
3350800,BOO! ARE YOU SCARED?,Coming soon,105
3107130,Grit Porn Video Tapes,Coming soon,104
3461200,Matchmania Donate,Coming soon,104
3425390,Death and Ladders,Coming soon,103
3308540,Dark Return,Coming soon,102
3308540,Dark Return,Coming soon,102
2702340,Bomber Festival,Coming soon,101
3426680,Iron Skys,Coming soon,99
3416370,Hope's Farm 2,Coming soon,97
3423400,WET GIRLS,Coming soon,97
3484310,Twilight,Coming soon,97
3484310,Twilight,Coming soon,97
3430960,The Lost Desert aka Cube Game 9x,Coming soon,97
3289970,One Wild Futa Nightclub,Coming soon,96
3289970,One Wild Futa Nightclub,Coming soon,96
3478210,Hentai World Festival,Coming soon,96
2459980,WastePunk,To be announced,94
2836490,The Palaces of The Mind,Coming soon,94
1864830,Emblem of Valor,Coming soon,92
2895750,So Fart Away,Coming soon,90
1842320,Slayer : the Demon Haunted World,Coming soon,88
2983520,Tile Tales: Pirate,Coming soon,88
3421670,Babel Defense,Coming soon,88
3465370,Behind The Backrooms : Lost Levels,Coming soon,87
3433990,Chinese Mythology: Journey to the West,Coming soon,86
1323370,Delinquent Community,Coming soon,84
3025100,Soul Armors Recollect,Coming soon,83
2994050,GladMort,Coming soon,81
3388270,Lottery World,Coming soon,81
2368080,EvoWars: New Era,Coming soon,79
2287170,Surviving Skeleton Island,Coming soon,79
3312730,Broken World: Save Your Children,Coming soon,76
2784440,Storage Looter,Coming soon,75
2925290,Ursid,Coming soon,75
3140330,The Fall: Act I,Coming soon,74
3478290,WASTED,Coming soon,74
3314710,RAVENSBURG,Coming soon,73
3314710,RAVENSBURG,Coming soon,73
2724980,CardScrawl,Coming soon,72
2934610,Bober Constructions,Coming soon,71
3074990,Dancing Pandas: Ranger's Path,To be announced,69
3006930,10 Second Rule: Infinity Labo,Coming soon,68
2968070,Cardian,Coming soon,68
3429120,우리 아빠는 용사랍니다,Coming soon,68
3166490,Caretaker,Coming soon,66
3166490,Caretaker,Coming soon,66
3431380,Dark Genesis,Coming soon,63
2306050,Devil Hunters,Coming soon,62
3513250,Hentai Furry,Coming soon,62
3290550,Malevolent Madness,Coming soon,61
3290550,Malevolent Madness,Coming soon,61
3358650,橙子小白大冒险,Coming soon,61
1394990,Heart of Summer,Coming soon,60
3223390,BLACKSHARD,Coming soon,60
3295020,Endless Deaths,Coming soon,60
3045320,Cyborg: Rise,Coming soon,60
3397360,Femboy Feet,Coming soon,60
3350780,Nice Pro?,Coming soon,60
2736040,Dwarfs Delight,Coming soon,60
3323050,Little Resort Simulator,Coming soon,59
3183990,Avoidy Virus,Coming soon,59
3183990,Avoidy Virus,Coming soon,59
2729660,Vaporware Odyssey,Coming soon,57
3306470,Into Death and Beyond,Coming soon,57
2934930,Among The Dead,To be announced,57
2233020,The Quintessential Quintuplets OMOIDE VR ~YOTSUBA~,Coming soon,54
3482240,Picnic Penguin,Coming soon,54
3180510,Social Clicker : Persona,Coming soon,54
3074160,Mythic Merchants,Coming soon,52
3351020,Home Cleaning: Cozy Baby Cleanup,Coming soon,52
1803360,Ostera : The curse of...,Coming soon,51
3470040,Journey to Impossible,Coming soon,50
3435470,Bangalore Daze,Coming soon,50
3399570,YOU Game+,Coming soon,50
3297730,Nightmare Journey,Coming soon,49
2825410,Serke,Coming soon,47
3139280,Opus Cortex: A Nonogram Puzzle Story,Coming soon,47
817800,Overlook Trail,To be announced,46
3139470,Guy Who Sells Jars,Coming soon,46
3351150,Astroball,Coming soon,45
3083340,Ascendaria,Coming soon,44
3317650,无限骰子,Coming soon,44
3317650,无限骰子,Coming soon,44
3293800,Fiora,Coming soon,44
3293800,Fiora,Coming soon,44
3414470,Elysium,Coming soon,43
676270,The Mofflys: Invasion Mayhem,Coming soon,42
3435340,Sign White,Coming soon,40
3348500,O.W.L Projekt 2,Coming soon,40
3360420,Evil World HOPSCA,Coming soon,39
2689950,grave desecrator,To be announced,38
2840910,Pizza Delivery Survivors,To be announced,38
3138370,Bundle of Joy,Coming soon,38
3382100,Pocket Oracle,Coming soon,38
3210270,Streets of Rageness: Beat 'Em Up Fighter,Coming soon,37
2997780,Pixel Pixie,Coming soon,37
3067840,3°C: Sand Puzzle,To be announced,36
3284110,Soccer Pro Simulator,Coming soon,36
3284110,Soccer Pro Simulator,Coming soon,36
3346300,Millie and Friends: Hidden Object Puzzles,Coming soon,36
1641770,Let's Go Nuts! 2,Coming soon,36
3493150,Rival Roads Car Racing,Coming soon,36
3486590,Plague Doctor And Panacea,Coming soon,36
2795230,OddRoom,Coming soon,35
3346170,Perimbó,Coming soon,35
1750470,Cyrano,To be announced,35
2959710,Astral Hound VR,To be announced,34
3473330,皇上驾到,Coming soon,34
3094650,Forsaken Ones,Coming soon,33
2555480,Ooze: The Great and Powerful,Coming soon,32
3473630,Stagees - Just Play !,Coming soon,32
3396470,Ambient Dark,Coming soon,31
1800440,Space storm,Coming soon,31
2586430,Undefined Survivors -アンディファインド サバイバーズ-,Coming soon,30
3213000,Starship Fighters: Space Combat Simulator,Coming soon,30
3463560,Zovid27: The Last Vaccine,Coming soon,30
3196800,Barman Simulator,Coming soon,30
2086840,Jumalien,Coming soon,30
3303010,Katana Dragon,To be announced,30
3303010,Katana Dragon,To be announced,30
3368350,Shogi 3D,Coming soon,30
2845780,Cook Saga,Coming soon,30
3297340,Doomed Hell 64: FPS Dungeon Crawler,Coming soon,30
3297340,Doomed Hell 64: FPS Dungeon Crawler,Coming soon,30
3496690,Wild Explorer,Coming soon,30
3148860,Dalafri,Coming soon,30
2730010,Too Small To Matter,Coming soon,30
3157820,Candlelight,Coming soon,30
3157820,Candlelight,Coming soon,30
3405430,Spamware,To be announced,30
3479870,File 47,Coming soon,30
3149440,Audacity,Coming soon,30
3294880,不安ごと,Coming soon,30
